"Имя","Категория","Категория системы","Количество","Марка","Номинальная высота","Номинальная длина","Номинальная ширина","Относительная высота верха объекта","Относительная высота низа объекта","Расположение вентиляционного оборудования относительно оси","Смещение вентиляционного оборудования по вертикали","Смещение вентиляционного оборудования по горизонтали","Смещение по вертикали","Список систем","Список систем.Имя","Список систем.Категория","Список систем.Обозначение","Список систем.Уникальный идентификатор","Список систем.Уникальный идентификатор категории","Стиль вентиляционного оборудования","Стиль вентиляционного оборудования.Имя","Стиль вентиляционного оборудования.Категория","Стиль вентиляционного оборудования.Материал","Стиль вентиляционного оборудования.Материал.Имя","Стиль вентиляционного оборудования.Материал.Плотность","Стиль вентиляционного оборудования.Материал.Теплопроводность","Стиль вентиляционного оборудования.Материал.Уникальный идентификатор","Стиль вентиляционного оборудования.Уникальный идентификатор","Стиль вентиляционного оборудования.Уникальный идентификатор категории","Тип объекта","Угол нутации","Угол прецессии","Угол собственного вращения","Уникальный идентификатор","Уникальный идентификатор категории","Уровень","Стиль вентиляционного оборудования.Единица измерения","Стиль вентиляционного оборудования.Код продукции","Стиль вентиляционного оборудования.Масса","Стиль вентиляционного оборудования.Наименование","Стиль вентиляционного оборудования.Обозначение","Стиль вентиляционного оборудования.Поставщик"
"Зонт - Зонт 400x600","Зонт","Приточная вентиляция","1","","402.0000000","1080.0000000","720.0000000","7550.5264939","7148.5264939","По центру","0.0000000","0.0000000","0.0000000","","","","","","","Зонт 400x600","Зонт 400x600","Зонт","Алюминий","Алюминий","2800.0000000","160.0000000","ad9f83bd-0db5-4dd3-bd9a-c6d37dc2c9e8","76f79277-592d-4036-9610-616913d194b6","3f645375-7a31-4220-9bc7-da8315b87e06","Вентиляционное оборудование","0.0000000","0.0000000","0.0000000","2803a26a-1537-4f20-9efd-fa3ab389faf8","3f645375-7a31-4220-9bc7-da8315b87e06","1","","","","","",""
"Зонт - Зонт 400x600","Зонт","Приточная вентиляция","1","","402.0000000","1080.0000000","720.0000000","7847.5179704","7445.5179704","По центру","0.0000000","0.0000000","0.0000000","","","","","","","Зонт 400x600","Зонт 400x600","Зонт","Алюминий","Алюминий","2800.0000000","160.0000000","ad9f83bd-0db5-4dd3-bd9a-c6d37dc2c9e8","76f79277-592d-4036-9610-616913d194b6","3f645375-7a31-4220-9bc7-da8315b87e06","Вентиляционное оборудование","0.0000000","0.0000000","0.0000000","5c5b2bf9-6e9a-4163-a5fd-ddcecf79b0c9","3f645375-7a31-4220-9bc7-da8315b87e06","1","","","","","",""
"Зонт - Зонт 400x600","Зонт","Приточная вентиляция","1","","402.0000000","1080.0000000","720.0000000","7561.7678652","7159.7678652","По центру","0.0000000","0.0000000","0.0000000","","","","","","","Зонт 400x600","Зонт 400x600","Зонт","Алюминий","Алюминий","2800.0000000","160.0000000","ad9f83bd-0db5-4dd3-bd9a-c6d37dc2c9e8","76f79277-592d-4036-9610-616913d194b6","3f645375-7a31-4220-9bc7-da8315b87e06","Вентиляционное оборудование","0.0000000","0.0000000","0.0000000","e4ccc531-0f23-4f87-b198-06865bcc31cf","3f645375-7a31-4220-9bc7-da8315b87e06","1","","","","","",""
"Воздухораспределитель - Диффузор D200","Воздухораспределитель","Прочие воздуховодные системы","1","","76.0000000","258.0000000","258.0000000","8793.8112814","8717.8112814","По центру","0.0000000","0.0000000","-70.0000000","","","","","","","Диффузор D200","Диффузор D200","Воздухораспределитель","Алюминий","Алюминий","2800.0000000","160.0000000","ad9f83bd-0db5-4dd3-bd9a-c6d37dc2c9e8","78e783df-7405-4629-ac78-81f7d3e3be1b","e63fd703-aeed-4ada-bfdc-a574e59ebd5f","Вентиляционное оборудование","0.0000000","0.0000000","0.0000000","9cc92b44-99a7-4296-ab79-d2ec387404ef","e63fd703-aeed-4ada-bfdc-a574e59ebd5f","1","","","","","",""
"Вентилятор - Вентилятор радиальный №5","Вентилятор","Приточная вентиляция","1","","1090.0000000","1010.0000000","1698.0000000","2520.0000000","1430.0000000","Вверху по центру","0.0000000","0.0000000","-70.0000000","","","","","","","Вентилятор радиальный №5","Вентилятор радиальный №5","Вентилятор","Алюминий","Алюминий","2800.0000000","160.0000000","ad9f83bd-0db5-4dd3-bd9a-c6d37dc2c9e8","085cc440-b90b-4661-bffb-11a8cfc6e4dd","6d7b9c7d-30e7-45d1-9c26-72d2dc7ed013","Вентиляционное оборудование","0.0000000","90.0000000","0.0000000","9dafe681-aabb-4a25-a551-2e270630c987","6d7b9c7d-30e7-45d1-9c26-72d2dc7ed013","1","","","","","",""
"Вентиляционная установка - Вентиляционная установка приточно-вытяжная горизонтальная","Вентиляционная установка","","1","","280.0000000","840.0000000","750.0000000","1652.4923481","1372.4923481","Вверху по центру","0.0000000","0.0000000","-70.0000000","","","","","","","Вентиляционная установка приточно-вытяжная горизонтальная","Вентиляционная установка приточно-вытяжная горизонтальная","Вентиляционная установка","Алюминий","Алюминий","2800.0000000","160.0000000","ad9f83bd-0db5-4dd3-bd9a-c6d37dc2c9e8","01924944-eb27-48df-bd14-978f772396ab","61e8c8f0-73b5-46a7-8859-7482152d5c4a","Вентиляционное оборудование","0.0000000","180.0000000","0.0000000","b41985f7-fb94-4947-a715-ab66ee595ee4","61e8c8f0-73b5-46a7-8859-7482152d5c4a","1","","","","","",""
"Вентилятор - Вентилятор радиальный №5","Вентилятор","Приточная вентиляция","1","","1090.0000000","1010.0000000","1698.0000000","2520.0000000","1430.0000000","Вверху по центру","0.0000000","0.0000000","-70.0000000","","","","","","","Вентилятор радиальный №5","Вентилятор радиальный №5","Вентилятор","Алюминий","Алюминий","2800.0000000","160.0000000","ad9f83bd-0db5-4dd3-bd9a-c6d37dc2c9e8","085cc440-b90b-4661-bffb-11a8cfc6e4dd","6d7b9c7d-30e7-45d1-9c26-72d2dc7ed013","Вентиляционное оборудование","0.0000000","90.0000000","0.0000000","0dda9676-3b11-4389-8766-f359f39099f1","6d7b9c7d-30e7-45d1-9c26-72d2dc7ed013","1","","","","","",""
"Вентиляционная установка - Вентиляционная установка приточно-вытяжная горизонтальная","Вентиляционная установка","","1","","280.0000000","840.0000000","750.0000000","1710.0000000","1430.0000000","Вверху по центру","0.0000000","0.0000000","-70.0000000","","","","","","","Вентиляционная установка приточно-вытяжная горизонтальная","Вентиляционная установка приточно-вытяжная горизонтальная","Вентиляционная установка","Алюминий","Алюминий","2800.0000000","160.0000000","ad9f83bd-0db5-4dd3-bd9a-c6d37dc2c9e8","01924944-eb27-48df-bd14-978f772396ab","61e8c8f0-73b5-46a7-8859-7482152d5c4a","Вентиляционное оборудование","0.0000000","180.0000000","0.0000000","abda4b62-d983-4724-a11f-c4a60c7eca03","61e8c8f0-73b5-46a7-8859-7482152d5c4a","1","","","","","",""
"Вентилятор - Вентилятор радиальный №5","Вентилятор","Прочие воздуховодные системы","1","","1090.0000000","1010.0000000","1698.0000000","7030.6129332","5940.6129332","Вверху по центру","0.0000000","0.0000000","-70.0000000","","","","","","","Вентилятор радиальный №5","Вентилятор радиальный №5","Вентилятор","Алюминий","Алюминий","2800.0000000","160.0000000","ad9f83bd-0db5-4dd3-bd9a-c6d37dc2c9e8","085cc440-b90b-4661-bffb-11a8cfc6e4dd","6d7b9c7d-30e7-45d1-9c26-72d2dc7ed013","Вентиляционное оборудование","0.0000000","180.0000000","0.0000000","ab9810da-6f50-4eb7-8945-c2480ab5f24b","6d7b9c7d-30e7-45d1-9c26-72d2dc7ed013","1","","","","","",""
"Вентилятор - Вентилятор радиальный №5","Вентилятор","Прочие воздуховодные системы","1","","1090.0000000","1010.0000000","1698.0000000","7030.6129332","5940.6129332","Вверху по центру","0.0000000","0.0000000","-70.0000000","","","","","","","Вентилятор радиальный №5","Вентилятор радиальный №5","Вентилятор","Алюминий","Алюминий","2800.0000000","160.0000000","ad9f83bd-0db5-4dd3-bd9a-c6d37dc2c9e8","085cc440-b90b-4661-bffb-11a8cfc6e4dd","6d7b9c7d-30e7-45d1-9c26-72d2dc7ed013","Вентиляционное оборудование","0.0000000","180.0000000","0.0000000","ad7ed26e-1f53-4427-be00-85265bb3f697","6d7b9c7d-30e7-45d1-9c26-72d2dc7ed013","1","","","","","",""
