"Внутренняя площадь внутренней поверхности","Высота арки двери","Высота двери","Высота трапеции двери","Габаритная высота","Габаритная ширина","Глубина расположения двери","Имя","Имя родительского объекта","Категория","Количество","Марка","Марка родительского объекта","Наружная площадь внутренней поверхности","Ориентация заполнения двери","Относительная высота верха объекта","Относительная высота низа объекта","Периметр","Площадь","Площадь внутренней поверхности","Площадь остекления","Расположение дверного проёма","Смещение по вертикали","Смещение родительского объекта по вертикали","Стиль армирования","Стиль армирования.Имя","Стиль армирования.Уникальный идентификатор","Стиль двери","Стиль двери.Высота фрамуги","Стиль двери.Глубина коробки","Стиль двери.Глубина наличника","Стиль двери.Глубина полотна","Стиль двери.Имя","Стиль двери.Коробка","Стиль двери.Материал","Стиль двери.Материал.Имя","Стиль двери.Материал.Плотность","Стиль двери.Материал.Теплопроводность","Стиль двери.Материал.Уникальный идентификатор","Стиль двери.Наличники","Стиль двери.Порог","Стиль двери.Смещение полотна","Стиль двери.Тип фрамуги","Стиль двери.Толщина импоста","Стиль двери.Толщина коробки","Стиль двери.Толщина порога","Стиль двери.Уникальный идентификатор","Стиль двери.Ширина наличника","Тип объекта","Уникальный идентификатор","Уникальный идентификатор категории","Уникальный идентификатор родительского объекта","Уровень","Форма проёма двери","Ширина двери"
"2.7625000","","2050.0000000","","2050.0000000","1200.0000000","0.0000000","Дверь - My: 1 200,00 мм x 2 050,00 мм","","Дверь","1","","","0.1625000","Левая","2126.0927368","76.0927368","6500.0000000","2.4600000","2.9250000","","Вдоль стены","0.0000000","","(нет)","(нет)","00000000-0000-0000-0000-000000000000","My","","","","50.0000000","My","Нет","Поливинилхлорид белый","Поливинилхлорид белый","1400.0000000","0.1600000","e58d7b56-1944-41da-b412-cc4da94cbdc8","Нет","Нет","0.0000000","(нет)","","","","b79668eb-13f6-43e9-888f-ee9db9811d72","","Дверь","5e68c4e3-bf5a-4174-8cb5-f90b276a1c57","80c34eed-5232-4cd7-8925-177ee02934d8","","1","Прямоугольный проём","1200.0000000"
"2.7625000","","2050.0000000","","2050.0000000","1200.0000000","0.0000000","Дверь - My: 1 200,00 мм x 2 050,00 мм","","Дверь","1","","","0.1625000","Левая","2121.0316074","71.0316074","6500.0000000","2.4600000","2.9250000","","Вдоль стены","0.0000000","","(нет)","(нет)","00000000-0000-0000-0000-000000000000","My","","","","50.0000000","My","Нет","Поливинилхлорид белый","Поливинилхлорид белый","1400.0000000","0.1600000","e58d7b56-1944-41da-b412-cc4da94cbdc8","Нет","Нет","0.0000000","(нет)","","","","b79668eb-13f6-43e9-888f-ee9db9811d72","","Дверь","17bc3ab9-7a34-4906-aa91-42445ed5f8f6","80c34eed-5232-4cd7-8925-177ee02934d8","","1","Прямоугольный проём","1200.0000000"
"0.4550000","","1300.0000000","","1300.0000000","700.0000000","0.0000000","Дверь - My: 700,00 мм x 1 300,00 мм","","Дверь","1","","","0.0650000","Левая","1300.0000000","0.0000000","4000.0000000","0.9100000","0.5200000","","Вдоль стены","0.0000000","","(нет)","(нет)","00000000-0000-0000-0000-000000000000","My","","","","50.0000000","My","Нет","Поливинилхлорид белый","Поливинилхлорид белый","1400.0000000","0.1600000","e58d7b56-1944-41da-b412-cc4da94cbdc8","Нет","Нет","0.0000000","(нет)","","","","b79668eb-13f6-43e9-888f-ee9db9811d72","","Дверь","fec2aaae-c828-40df-8052-52afbdd73826","80c34eed-5232-4cd7-8925-177ee02934d8","","1","Прямоугольный проём","700.0000000"
"0.4550000","","1300.0000000","","1300.0000000","700.0000000","0.0000000","Дверь - My: 700,00 мм x 1 300,00 мм","","Дверь","1","","","0.0650000","Левая","1300.0000000","0.0000000","4000.0000000","0.9100000","0.5200000","","Вдоль стены","0.0000000","","(нет)","(нет)","00000000-0000-0000-0000-000000000000","My","","","","50.0000000","My","Нет","Поливинилхлорид белый","Поливинилхлорид белый","1400.0000000","0.1600000","e58d7b56-1944-41da-b412-cc4da94cbdc8","Нет","Нет","0.0000000","(нет)","","","","b79668eb-13f6-43e9-888f-ee9db9811d72","","Дверь","6e7aef47-e6a2-4736-820f-89eab60de7d7","80c34eed-5232-4cd7-8925-177ee02934d8","","1","Прямоугольный проём","700.0000000"
"0.5775000","","1300.0000000","","1300.0000000","700.0000000","0.0000000","Дверь - My: 700,00 мм x 1 300,00 мм","","Дверь","1","","","0.0825000","Левая","1300.0000000","0.0000000","4000.0000000","0.9100000","0.6600000","","Вдоль стены","0.0000000","","(нет)","(нет)","00000000-0000-0000-0000-000000000000","My","","","","50.0000000","My","Нет","Поливинилхлорид белый","Поливинилхлорид белый","1400.0000000","0.1600000","e58d7b56-1944-41da-b412-cc4da94cbdc8","Нет","Нет","0.0000000","(нет)","","","","b79668eb-13f6-43e9-888f-ee9db9811d72","","Дверь","39aea3e9-783d-43f5-b419-0edc79b912be","80c34eed-5232-4cd7-8925-177ee02934d8","","1","Прямоугольный проём","700.0000000"
"0.8925000","","2050.0000000","","2050.0000000","1000.0000000","0.0000000","Дверь - My: 1 000,00 мм x 2 050,00 мм","","Дверь","1","","","0.1275000","Правая","2050.0000000","0.0000000","6100.0000000","2.0500000","1.0200000","","Вдоль стены","0.0000000","","(нет)","(нет)","00000000-0000-0000-0000-000000000000","My","","","","50.0000000","My","Нет","Поливинилхлорид белый","Поливинилхлорид белый","1400.0000000","0.1600000","e58d7b56-1944-41da-b412-cc4da94cbdc8","Нет","Нет","0.0000000","(нет)","","","","b79668eb-13f6-43e9-888f-ee9db9811d72","","Дверь","9381f2b3-b307-48bf-a058-c435a2388485","80c34eed-5232-4cd7-8925-177ee02934d8","","1","Прямоугольный проём","1000.0000000"
"0.8925000","","2050.0000000","","2050.0000000","1000.0000000","0.0000000","Дверь - My: 1 000,00 мм x 2 050,00 мм","","Дверь","1","","","0.1275000","Левая","2050.0000000","0.0000000","6100.0000000","2.0500000","1.0200000","","Вдоль стены","0.0000000","","(нет)","(нет)","00000000-0000-0000-0000-000000000000","My","","","","50.0000000","My","Нет","Поливинилхлорид белый","Поливинилхлорид белый","1400.0000000","0.1600000","e58d7b56-1944-41da-b412-cc4da94cbdc8","Нет","Нет","0.0000000","(нет)","","","","b79668eb-13f6-43e9-888f-ee9db9811d72","","Дверь","f3dcb9cd-3ff3-405f-9356-0d32a76ed987","80c34eed-5232-4cd7-8925-177ee02934d8","","1","Прямоугольный проём","1000.0000000"
"0.8925000","","2050.0000000","","2050.0000000","1000.0000000","0.0000000","Дверь - My: 1 000,00 мм x 2 050,00 мм","","Дверь","1","","","0.1275000","Правая","2050.0000000","0.0000000","6100.0000000","2.0500000","1.0200000","","Вдоль стены","0.0000000","","(нет)","(нет)","00000000-0000-0000-0000-000000000000","My","","","","50.0000000","My","Нет","Поливинилхлорид белый","Поливинилхлорид белый","1400.0000000","0.1600000","e58d7b56-1944-41da-b412-cc4da94cbdc8","Нет","Нет","0.0000000","(нет)","","","","b79668eb-13f6-43e9-888f-ee9db9811d72","","Дверь","b9f81662-8be7-4c34-8c52-255766b60ce2","80c34eed-5232-4cd7-8925-177ee02934d8","","1","Прямоугольный проём","1000.0000000"
"0.8925000","","2050.0000000","","2050.0000000","1000.0000000","0.0000000","Дверь - My: 1 000,00 мм x 2 050,00 мм","","Дверь","1","","","0.1275000","Левая","2050.0000000","0.0000000","6100.0000000","2.0500000","1.0200000","","Вдоль стены","0.0000000","","(нет)","(нет)","00000000-0000-0000-0000-000000000000","My","","","","50.0000000","My","Нет","Поливинилхлорид белый","Поливинилхлорид белый","1400.0000000","0.1600000","e58d7b56-1944-41da-b412-cc4da94cbdc8","Нет","Нет","0.0000000","(нет)","","","","b79668eb-13f6-43e9-888f-ee9db9811d72","","Дверь","47d8f14a-dd5c-4fd4-a479-d09959821083","80c34eed-5232-4cd7-8925-177ee02934d8","","1","Прямоугольный проём","1000.0000000"
"0.8925000","","2050.0000000","","2050.0000000","1000.0000000","0.0000000","Дверь - My: 1 000,00 мм x 2 050,00 мм","","Дверь","1","","","0.1275000","Правая","2050.0000000","0.0000000","6100.0000000","2.0500000","1.0200000","","Вдоль стены","0.0000000","","(нет)","(нет)","00000000-0000-0000-0000-000000000000","My","","","","50.0000000","My","Нет","Поливинилхлорид белый","Поливинилхлорид белый","1400.0000000","0.1600000","e58d7b56-1944-41da-b412-cc4da94cbdc8","Нет","Нет","0.0000000","(нет)","","","","b79668eb-13f6-43e9-888f-ee9db9811d72","","Дверь","106ee2b8-5622-45db-823b-c94747c5352a","80c34eed-5232-4cd7-8925-177ee02934d8","","1","Прямоугольный проём","1000.0000000"
