"Внутренняя площадь внутренней поверхности","Высота арки окна","Высота окна","Высота трапеции окна","Габаритная высота","Габаритная ширина","Глубина расположения окна","Имя","Имя родительского объекта","Категория","Количество","Марка","Марка родительского объекта","Наружная площадь внутренней поверхности","Ориентация заполнения окна","Отлив","Относительная высота верха объекта","Относительная высота низа объекта","Периметр","Площадь","Площадь внутренней поверхности","Площадь остекления","Подоконник","Расположение оконного проёма","Смещение по вертикали","Смещение родительского объекта по вертикали","Стиль армирования","Стиль армирования.Имя","Стиль армирования.Уникальный идентификатор","Стиль окна","Стиль окна.Глубина рамы","Стиль окна.Глубина рамы створки","Стиль окна.Имя","Стиль окна.Материал","Стиль окна.Материал.Имя","Стиль окна.Материал.Плотность","Стиль окна.Материал.Теплопроводность","Стиль окна.Материал.Уникальный идентификатор","Стиль окна.Толщина вертикального импоста","Стиль окна.Толщина горизонтального импоста","Стиль окна.Толщина рамы","Стиль окна.Толщина рамы створки","Стиль окна.Уникальный идентификатор","Тип объекта","Уникальный идентификатор","Уникальный идентификатор категории","Уникальный идентификатор родительского объекта","Уровень","Форма проёма окна","Ширина окна"
"","","1600.0000000","","1600.0000000","900.0000000","","Окно - (нет): 900,00 мм x 1 600,00 мм","","Проём","1","","","","","","2300.0000000","700.0000000","5000.0000000","1.4400000","1.5300000","","","Вдоль стены","700.0000000","","(нет)","(нет)","00000000-0000-0000-0000-000000000000","(нет)","50.0000000","50.0000000","(нет)","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","50.0000000","50.0000000","50.0000000","50.0000000","03070868-6f3d-4dc3-8831-4e95f353846f","Окно","d2cf40a0-2982-40a3-bd87-8f763932c49c","d01c7085-4984-4789-b009-92d7f2f0b2c1","","1","Прямоугольный проём","900.0000000"
"","","1600.0000000","","1600.0000000","900.0000000","","Окно - (нет): 900,00 мм x 1 600,00 мм","","Проём","1","","","","","","2300.0000000","700.0000000","5000.0000000","1.4400000","1.5300000","","","Вдоль стены","700.0000000","","(нет)","(нет)","00000000-0000-0000-0000-000000000000","(нет)","50.0000000","50.0000000","(нет)","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","50.0000000","50.0000000","50.0000000","50.0000000","03070868-6f3d-4dc3-8831-4e95f353846f","Окно","06ad1bb7-dc07-4a08-b522-09b780579193","d01c7085-4984-4789-b009-92d7f2f0b2c1","","1","Прямоугольный проём","900.0000000"
"","","1600.0000000","","1600.0000000","900.0000000","","Окно - (нет): 900,00 мм x 1 600,00 мм","","Проём","1","","","","","","2300.0000000","700.0000000","5000.0000000","1.4400000","0.7289336","","","Вдоль стены","700.0000000","","(нет)","(нет)","00000000-0000-0000-0000-000000000000","(нет)","50.0000000","50.0000000","(нет)","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","50.0000000","50.0000000","50.0000000","50.0000000","03070868-6f3d-4dc3-8831-4e95f353846f","Окно","59a7c556-bcf8-4eb1-be3a-b1cac6b60729","d01c7085-4984-4789-b009-92d7f2f0b2c1","","1","Прямоугольный проём","900.0000000"
"","","1600.0000000","","1600.0000000","900.0000000","","Окно - (нет): 900,00 мм x 1 600,00 мм","","Проём","1","","","","","","2300.0000000","700.0000000","5000.0000000","1.4400000","1.5300000","","","Вдоль стены","700.0000000","","(нет)","(нет)","00000000-0000-0000-0000-000000000000","(нет)","50.0000000","50.0000000","(нет)","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","50.0000000","50.0000000","50.0000000","50.0000000","03070868-6f3d-4dc3-8831-4e95f353846f","Окно","7b5ad5fc-3556-4e66-ab3f-5ff8381be0c3","d01c7085-4984-4789-b009-92d7f2f0b2c1","","1","Прямоугольный проём","900.0000000"
"","","1600.0000000","","1600.0000000","900.0000000","","Окно - (нет): 900,00 мм x 1 600,00 мм","","Проём","1","","","","","","2300.0000000","700.0000000","5000.0000000","1.4400000","1.5300000","","","Вдоль стены","700.0000000","","(нет)","(нет)","00000000-0000-0000-0000-000000000000","(нет)","50.0000000","50.0000000","(нет)","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","50.0000000","50.0000000","50.0000000","50.0000000","03070868-6f3d-4dc3-8831-4e95f353846f","Окно","739263e0-5e56-42ca-93a4-c42fde67bab2","d01c7085-4984-4789-b009-92d7f2f0b2c1","","1","Прямоугольный проём","900.0000000"
"","","1600.0000000","","1600.0000000","900.0000000","","Окно - (нет): 900,00 мм x 1 600,00 мм","","Проём","1","","","","","","2300.0000000","700.0000000","5000.0000000","1.4400000","1.5300000","","","Вдоль стены","700.0000000","","(нет)","(нет)","00000000-0000-0000-0000-000000000000","(нет)","50.0000000","50.0000000","(нет)","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","50.0000000","50.0000000","50.0000000","50.0000000","03070868-6f3d-4dc3-8831-4e95f353846f","Окно","0c88d272-3d0f-4039-8f04-46b13cc2bbf0","d01c7085-4984-4789-b009-92d7f2f0b2c1","","1","Прямоугольный проём","900.0000000"
"","","1600.0000000","","1600.0000000","900.0000000","","Окно - (нет): 900,00 мм x 1 600,00 мм","","Проём","1","","","","","","2300.0000000","700.0000000","5000.0000000","1.4400000","1.5300000","","","Вдоль стены","700.0000000","","(нет)","(нет)","00000000-0000-0000-0000-000000000000","(нет)","50.0000000","50.0000000","(нет)","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","50.0000000","50.0000000","50.0000000","50.0000000","03070868-6f3d-4dc3-8831-4e95f353846f","Окно","cb6d17f8-2142-4a3d-b6ec-3279a7ebe02b","d01c7085-4984-4789-b009-92d7f2f0b2c1","","1","Прямоугольный проём","900.0000000"
"","","1600.0000000","","1600.0000000","900.0000000","","Окно - (нет): 900,00 мм x 1 600,00 мм","","Проём","1","","","","","","2300.0000000","700.0000000","5000.0000000","1.4400000","1.5300000","","","Вдоль стены","700.0000000","","(нет)","(нет)","00000000-0000-0000-0000-000000000000","(нет)","50.0000000","50.0000000","(нет)","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","50.0000000","50.0000000","50.0000000","50.0000000","03070868-6f3d-4dc3-8831-4e95f353846f","Окно","9047d337-6878-446b-96df-4f113c422309","d01c7085-4984-4789-b009-92d7f2f0b2c1","","1","Прямоугольный проём","900.0000000"
"","","1600.0000000","","1600.0000000","900.0000000","","Окно - (нет): 900,00 мм x 1 600,00 мм","","Проём","1","","","","","","2300.0000000","700.0000000","5000.0000000","1.4400000","1.5300000","","","Вдоль стены","700.0000000","","(нет)","(нет)","00000000-0000-0000-0000-000000000000","(нет)","50.0000000","50.0000000","(нет)","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","50.0000000","50.0000000","50.0000000","50.0000000","03070868-6f3d-4dc3-8831-4e95f353846f","Окно","48976292-027b-4f56-ae14-327a6237c980","d01c7085-4984-4789-b009-92d7f2f0b2c1","","1","Прямоугольный проём","900.0000000"
"","","1600.0000000","","1600.0000000","900.0000000","","Окно - (нет): 900,00 мм x 1 600,00 мм","","Проём","1","","","","","","2300.0000000","700.0000000","5000.0000000","1.4400000","1.5300000","","","Вдоль стены","700.0000000","","(нет)","(нет)","00000000-0000-0000-0000-000000000000","(нет)","50.0000000","50.0000000","(нет)","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","50.0000000","50.0000000","50.0000000","50.0000000","03070868-6f3d-4dc3-8831-4e95f353846f","Окно","0d83a2fe-52e9-4927-a2b0-2d56e20f26ee","d01c7085-4984-4789-b009-92d7f2f0b2c1","","1","Прямоугольный проём","900.0000000"
