"Имя","Категория","Категория системы","Количество","Марка","Номинальная высота","Номинальная длина","Номинальная ширина","Относительная высота верха объекта","Относительная высота низа объекта","Расположение осветительного прибора относительно оси","Смещение осветительного прибора по вертикали","Смещение осветительного прибора по горизонтали","Список систем","Список систем.Имя","Список систем.Категория","Список систем.Обозначение","Список систем.Уникальный идентификатор","Список систем.Уникальный идентификатор категории","Стиль осветительного прибора","Стиль осветительного прибора.Имя","Стиль осветительного прибора.Категория","Стиль осветительного прибора.Материал","Стиль осветительного прибора.Материал.Имя","Стиль осветительного прибора.Материал.Плотность","Стиль осветительного прибора.Материал.Теплопроводность","Стиль осветительного прибора.Материал.Уникальный идентификатор","Стиль осветительного прибора.Уникальный идентификатор","Стиль осветительного прибора.Уникальный идентификатор категории","Тип объекта","Угол поворота осветительного прибора","Уникальный идентификатор","Уникальный идентификатор категории","Уровень"
"Поверхностный светильник - Светильник НПП 03-100 УХЛ2, IP64","Поверхностный светильник","Осветительная сеть","1","","140.0000000","280.0000000","280.0000016","2521.8768926","2241.8768926","По центру","0.0000000","0.0000000","","","","","","","Светильник НПП 03-100 УХЛ2, IP64","Светильник НПП 03-100 УХЛ2, IP64","Поверхностный светильник","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","6789f9b0-8c8c-459d-9ac1-731b516bf63e","df460656-0b78-4ffe-9c5f-efe8a0d747fd","Осветительный прибор","0.0000000","ffad81bd-70b1-4c7d-9f70-f773d4032b42","df460656-0b78-4ffe-9c5f-efe8a0d747fd","1"
"Поверхностный светильник - Светильник НПП 03-100 УХЛ2, IP64","Поверхностный светильник","Осветительная сеть","1","","140.0000000","280.0000000","280.0000016","2514.7375215","2234.7375215","По центру","0.0000000","0.0000000","","","","","","","Светильник НПП 03-100 УХЛ2, IP64","Светильник НПП 03-100 УХЛ2, IP64","Поверхностный светильник","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","6789f9b0-8c8c-459d-9ac1-731b516bf63e","df460656-0b78-4ffe-9c5f-efe8a0d747fd","Осветительный прибор","0.0000000","01cbb9c1-82c7-4bf8-9bb4-a8678fc4a0ea","df460656-0b78-4ffe-9c5f-efe8a0d747fd","1"
"Поверхностный светильник - Светильник НПП 03-100 УХЛ2, IP64","Поверхностный светильник","Осветительная сеть","1","","140.0000000","280.0000000","280.0000016","2520.5145058","2240.5145058","По центру","0.0000000","0.0000000","","","","","","","Светильник НПП 03-100 УХЛ2, IP64","Светильник НПП 03-100 УХЛ2, IP64","Поверхностный светильник","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","6789f9b0-8c8c-459d-9ac1-731b516bf63e","df460656-0b78-4ffe-9c5f-efe8a0d747fd","Осветительный прибор","0.0000000","da196335-4528-4e80-b4ab-80bee3be9325","df460656-0b78-4ffe-9c5f-efe8a0d747fd","1"
"Линейный светильник - Светильник OWP/R418 УХЛ3","Линейный светильник","Осветительная сеть","1","","110.0000000","595.0000000","595.0000000","5810.6129332","5700.6129332","По центру","0.0000000","0.0000000","","","","","","","Светильник OWP/R418 УХЛ3","Светильник OWP/R418 УХЛ3","Линейный светильник","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","895d8c31-b3b6-4bcd-8630-c9b5bc6941a8","4a1982c3-83d1-4f95-99bc-b207fbc04537","Осветительный прибор","0.0000000","dc1a4e80-7005-4bd2-a924-e643da97f853","4a1982c3-83d1-4f95-99bc-b207fbc04537","2"
"Линейный светильник - Светильник OWP/R418 УХЛ3","Линейный светильник","Осветительная сеть","1","","110.0000000","595.0000000","595.0000000","5810.6129332","5700.6129332","По центру","0.0000000","0.0000000","","","","","","","Светильник OWP/R418 УХЛ3","Светильник OWP/R418 УХЛ3","Линейный светильник","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","895d8c31-b3b6-4bcd-8630-c9b5bc6941a8","4a1982c3-83d1-4f95-99bc-b207fbc04537","Осветительный прибор","0.0000000","4588cf39-a7f7-4906-b642-74e17bb74f87","4a1982c3-83d1-4f95-99bc-b207fbc04537","2"
"Линейный светильник - Светильник OWP/R418 УХЛ3","Линейный светильник","Осветительная сеть","1","","110.0000000","595.0000000","595.0000000","5810.6129332","5700.6129332","По центру","0.0000000","0.0000000","","","","","","","Светильник OWP/R418 УХЛ3","Светильник OWP/R418 УХЛ3","Линейный светильник","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","895d8c31-b3b6-4bcd-8630-c9b5bc6941a8","4a1982c3-83d1-4f95-99bc-b207fbc04537","Осветительный прибор","0.0000000","53001e46-501b-40c4-bb1e-4184cefb9a23","4a1982c3-83d1-4f95-99bc-b207fbc04537","2"
"Линейный светильник - Светильник OWP/R418 УХЛ3","Линейный светильник","Осветительная сеть","1","","110.0000000","595.0000000","595.0000000","5810.6129332","5700.6129332","По центру","0.0000000","0.0000000","","","","","","","Светильник OWP/R418 УХЛ3","Светильник OWP/R418 УХЛ3","Линейный светильник","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","895d8c31-b3b6-4bcd-8630-c9b5bc6941a8","4a1982c3-83d1-4f95-99bc-b207fbc04537","Осветительный прибор","0.0000000","d82acf98-682b-4805-b7d8-a75d1ac71426","4a1982c3-83d1-4f95-99bc-b207fbc04537","2"
"Линейный светильник - Светильник PRS/R 236 HF УХЛ3","Линейный светильник","Осветительная сеть","1","","83.0000000","295.0000000","1195.0000000","5810.6129332","5727.6129332","По центру","0.0000000","0.0000000","","","","","","","Светильник PRS/R 236 HF УХЛ3","Светильник PRS/R 236 HF УХЛ3","Линейный светильник","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","228dde06-9682-4997-801d-761a5a9daf15","4a1982c3-83d1-4f95-99bc-b207fbc04537","Осветительный прибор","0.0000000","91cfcf50-7a58-44cd-be48-b84f4426e17a","4a1982c3-83d1-4f95-99bc-b207fbc04537","2"
"Линейный светильник - Светильник OWP/R418 УХЛ3","Линейный светильник","Осветительная сеть","1","","110.0000000","595.0000000","595.0000000","5810.6129332","5700.6129332","По центру","0.0000000","0.0000000","","","","","","","Светильник OWP/R418 УХЛ3","Светильник OWP/R418 УХЛ3","Линейный светильник","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","895d8c31-b3b6-4bcd-8630-c9b5bc6941a8","4a1982c3-83d1-4f95-99bc-b207fbc04537","Осветительный прибор","0.0000000","d90dc521-45b8-4558-94d5-ab3154404ec8","4a1982c3-83d1-4f95-99bc-b207fbc04537","2"
"Линейный светильник - Светильник OWP/R418 УХЛ3","Линейный светильник","Осветительная сеть","1","","110.0000000","595.0000000","595.0000000","5810.6129332","5700.6129332","По центру","0.0000000","0.0000000","","","","","","","Светильник OWP/R418 УХЛ3","Светильник OWP/R418 УХЛ3","Линейный светильник","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","895d8c31-b3b6-4bcd-8630-c9b5bc6941a8","4a1982c3-83d1-4f95-99bc-b207fbc04537","Осветительный прибор","0.0000000","a6fab8e4-59c8-4f67-a55a-028e05a487c4","4a1982c3-83d1-4f95-99bc-b207fbc04537","2"
"Линейный светильник - Светильник OWP/R418 УХЛ3","Линейный светильник","Осветительная сеть","1","","110.0000000","595.0000000","595.0000000","5810.6129332","5700.6129332","По центру","0.0000000","0.0000000","","","","","","","Светильник OWP/R418 УХЛ3","Светильник OWP/R418 УХЛ3","Линейный светильник","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","895d8c31-b3b6-4bcd-8630-c9b5bc6941a8","4a1982c3-83d1-4f95-99bc-b207fbc04537","Осветительный прибор","0.0000000","49fb8950-ff08-4c17-9a9c-20e395e82d6a","4a1982c3-83d1-4f95-99bc-b207fbc04537","2"
"Линейный светильник - Светильник OWP/R418 УХЛ3","Линейный светильник","Осветительная сеть","1","","110.0000000","595.0000000","595.0000000","5810.6129332","5700.6129332","По центру","0.0000000","0.0000000","","","","","","","Светильник OWP/R418 УХЛ3","Светильник OWP/R418 УХЛ3","Линейный светильник","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","895d8c31-b3b6-4bcd-8630-c9b5bc6941a8","4a1982c3-83d1-4f95-99bc-b207fbc04537","Осветительный прибор","0.0000000","3c9d07fa-7eea-429b-901a-c480992ca947","4a1982c3-83d1-4f95-99bc-b207fbc04537","2"
"Линейный светильник - Светильник OWP/R418 УХЛ3","Линейный светильник","Осветительная сеть","1","","110.0000000","595.0000000","595.0000000","5810.6129332","5700.6129332","По центру","0.0000000","0.0000000","","","","","","","Светильник OWP/R418 УХЛ3","Светильник OWP/R418 УХЛ3","Линейный светильник","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","895d8c31-b3b6-4bcd-8630-c9b5bc6941a8","4a1982c3-83d1-4f95-99bc-b207fbc04537","Осветительный прибор","0.0000000","b7e043c6-6539-4394-b4d1-808c2551a690","4a1982c3-83d1-4f95-99bc-b207fbc04537","2"
"Линейный светильник - Светильник OWP/R418 УХЛ3","Линейный светильник","Осветительная сеть","1","","110.0000000","595.0000000","595.0000000","5810.6129332","5700.6129332","По центру","0.0000000","0.0000000","","","","","","","Светильник OWP/R418 УХЛ3","Светильник OWP/R418 УХЛ3","Линейный светильник","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","895d8c31-b3b6-4bcd-8630-c9b5bc6941a8","4a1982c3-83d1-4f95-99bc-b207fbc04537","Осветительный прибор","0.0000000","744c62b1-3ed1-4205-9aa1-7d70afc48444","4a1982c3-83d1-4f95-99bc-b207fbc04537","2"
"Линейный светильник - Светильник OWP/R418 УХЛ3","Линейный светильник","Осветительная сеть","1","","110.0000000","595.0000000","595.0000000","5810.6129332","5700.6129332","По центру","0.0000000","0.0000000","","","","","","","Светильник OWP/R418 УХЛ3","Светильник OWP/R418 УХЛ3","Линейный светильник","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","895d8c31-b3b6-4bcd-8630-c9b5bc6941a8","4a1982c3-83d1-4f95-99bc-b207fbc04537","Осветительный прибор","0.0000000","159345e7-8500-46c8-96e0-47da189c1a41","4a1982c3-83d1-4f95-99bc-b207fbc04537","2"
"Линейный светильник - Светильник OWP/R418 УХЛ3","Линейный светильник","Осветительная сеть","1","","110.0000000","595.0000000","595.0000000","5810.6129332","5700.6129332","По центру","0.0000000","0.0000000","","","","","","","Светильник OWP/R418 УХЛ3","Светильник OWP/R418 УХЛ3","Линейный светильник","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","895d8c31-b3b6-4bcd-8630-c9b5bc6941a8","4a1982c3-83d1-4f95-99bc-b207fbc04537","Осветительный прибор","0.0000000","5df4836e-08f8-43db-b7e7-1a8dd0363f23","4a1982c3-83d1-4f95-99bc-b207fbc04537","2"
"Линейный светильник - Светильник OWP/R418 УХЛ3","Линейный светильник","Осветительная сеть","1","","110.0000000","595.0000000","595.0000000","5810.6129332","5700.6129332","По центру","0.0000000","0.0000000","","","","","","","Светильник OWP/R418 УХЛ3","Светильник OWP/R418 УХЛ3","Линейный светильник","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","895d8c31-b3b6-4bcd-8630-c9b5bc6941a8","4a1982c3-83d1-4f95-99bc-b207fbc04537","Осветительный прибор","0.0000000","41059384-5fed-4412-958b-7745ea543a88","4a1982c3-83d1-4f95-99bc-b207fbc04537","2"
"Линейный светильник - Светильник OWP/R418 УХЛ3","Линейный светильник","Осветительная сеть","1","","110.0000000","595.0000000","595.0000000","5810.6129332","5700.6129332","По центру","0.0000000","0.0000000","","","","","","","Светильник OWP/R418 УХЛ3","Светильник OWP/R418 УХЛ3","Линейный светильник","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","895d8c31-b3b6-4bcd-8630-c9b5bc6941a8","4a1982c3-83d1-4f95-99bc-b207fbc04537","Осветительный прибор","0.0000000","ae70712a-4d1f-4144-b1f3-8ea6547b471d","4a1982c3-83d1-4f95-99bc-b207fbc04537","2"
