"Высота стены","Имя","Имя родительского объекта","Количество","Марка","Марка родительского объекта","Многослойный материал","Многослойный материал.Имя","Многослойный материал.Уникальный идентификатор","Номинальная высота","Номинальная длина","Номинальная толщина","Общая длина арматурных стержней","Общая масса арматурных стержней","Относительная высота верха базовой линии объекта","Относительная высота верха объекта","Относительная высота низа базовой линии объекта","Относительная высота низа объекта","Полная масса","Полная площадь боковой поверхности слева","Полная площадь боковой поверхности справа","Полная площадь продольного сечения","Полный объём","Расположение стены относительно базовой линии","Смещение по вертикали","Смещение родительского объекта по вертикали","Смещение стены по горизонтали","Стиль армирования","Стиль армирования.Имя","Стиль армирования.Уникальный идентификатор","Тип объекта","Толщина стены","Уникальный идентификатор","Уникальный идентификатор родительского объекта","Уровень","Чистая масса","Чистая площадь боковой поверхности слева","Чистая площадь боковой поверхности справа","Чистая площадь основания","Чистая площадь продольного сечения","Чистый объём"
"3000.0000000","Стена: 450,00 мм","","1","","","Бетон","Бетон","22ad1f3b-8886-4418-ac48-7d9de29be0cf","3000.0000000","15554.8092036","450.0000000","0.0000000","0.0000000","0.0000000","3000.0000000","0.0000000","0.0000000","48297.6825771","46.6644276","46.6644276","46.6644276","20.9989924","По центру","0.0000000","","0.0000000","(нет)","(нет)","00000000-0000-0000-0000-000000000000","Стена","450.0000000","f8bca11c-bd1d-44cc-877e-8ff3f01c06be","","1","43826.4825771","42.3444276","42.3444276","6.9996641","42.3444276","19.0549924"
"3000.0000000","Стена: 450,00 мм","","1","","","Бетон","Бетон","22ad1f3b-8886-4418-ac48-7d9de29be0cf","3000.0000000","59092.3426453","450.0000000","0.0000000","0.0000000","0.0000000","3000.0000000","0.0000000","0.0000000","183481.7239136","177.2770279","177.2770279","177.2770279","79.7746626","По центру","0.0000000","","0.0000000","(нет)","(нет)","00000000-0000-0000-0000-000000000000","Стена","450.0000000","bb42875a-30ba-4ec1-b0c9-2137925640d3","","1","143756.7376562","138.2084910","140.2478046","26.3890542","139.5728046","62.5029294"
"3000.0000000","Стена: 450,00 мм","","1","","","Бетон","Бетон","22ad1f3b-8886-4418-ac48-7d9de29be0cf","3000.0000000","14779.6335858","450.0000000","0.0000000","0.0000000","0.0000000","3000.0000000","0.0000000","0.0000000","45890.7622840","44.3389008","44.3389008","44.3389008","19.9525053","По центру","0.0000000","","0.0000000","(нет)","(нет)","00000000-0000-0000-0000-000000000000","Стена","450.0000000","bef48ef1-e924-427b-b101-1f0a735d3ac7","","1","40788.4425059","42.1339008","37.9457472","6.6508351","38.6207472","17.7341054"
"3000.0000000","Стена: 450,00 мм","","1","","","Бетон","Бетон","22ad1f3b-8886-4418-ac48-7d9de29be0cf","3000.0000000","58867.4285347","450.0000000","0.0000000","0.0000000","0.0000000","3000.0000000","0.0000000","0.0000000","182783.3656003","176.6022856","176.6022856","176.6022856","79.4710285","Справа","0.0000000","","0.0000000","(нет)","(нет)","00000000-0000-0000-0000-000000000000","Стена","450.0000000","33ec5619-a1a3-423c-a807-45c16f84dca6","","1","147220.8705421","149.2422856","137.7879793","26.4903428","137.8072649","64.0090741"
"3000.0000000","Стена: 450,00 мм","","1","","","Бетон","Бетон","22ad1f3b-8886-4418-ac48-7d9de29be0cf","3000.0000000","15554.8092036","450.0000000","0.0000000","0.0000000","3010.6129332","6010.6129332","3010.6129332","3010.6129332","48297.6825771","46.6644276","46.6644276","46.6644276","20.9989924","По центру","0.0000000","","0.0000000","(нет)","(нет)","00000000-0000-0000-0000-000000000000","Стена","450.0000000","eb682d74-df19-464d-8cf4-f15c1366b5b2","","2","43826.4825771","42.3444276","42.3444276","6.9996641","42.3444276","19.0549924"
"3000.0000000","Стена: 450,00 мм","","1","","","Бетон","Бетон","22ad1f3b-8886-4418-ac48-7d9de29be0cf","3000.0000000","59092.3426453","450.0000000","0.0000000","0.0000000","3010.6129332","6010.6129332","3010.6129332","3010.6129332","183481.7239136","177.2770279","177.2770279","177.2770279","79.7746626","По центру","0.0000000","","0.0000000","(нет)","(нет)","00000000-0000-0000-0000-000000000000","Стена","450.0000000","9f51ca35-e2ee-4650-a1fd-ee3ffac8e6b1","","2","145824.0528125","141.5678046","141.5678046","26.3890542","140.8928046","63.4017621"
"3000.0000000","Стена: 450,00 мм","","1","","","Бетон","Бетон","22ad1f3b-8886-4418-ac48-7d9de29be0cf","3000.0000000","14784.1455457","450.0000000","0.0000000","0.0000000","3010.6129332","6010.6129332","3010.6129332","3010.6129332","45904.7719193","44.3524366","44.3524366","44.3524366","19.9585965","По центру","0.0000000","","0.0000000","(нет)","(нет)","00000000-0000-0000-0000-000000000000","Стена","450.0000000","c687ddcf-5df0-47e6-ac21-83b466de1f14","","2","42923.9719193","42.1474366","40.7974366","6.6528655","41.4724366","18.6625965"
"3000.0000000","Стена: 450,00 мм","","1","","","Бетон","Бетон","22ad1f3b-8886-4418-ac48-7d9de29be0cf","3000.0000000","58866.1802122","450.0000000","0.0000000","0.0000000","3010.6129332","6010.6129332","3010.6129332","3010.6129332","182779.4895587","176.5985406","176.5985406","176.5985406","79.4693433","По центру","0.0000000","","0.0000000","(нет)","(нет)","00000000-0000-0000-0000-000000000000","Стена","450.0000000","f670d666-dd66-49cb-8567-59d9eb74ed28","","2","142468.2691120","140.2985406","128.6150553","26.4897811","140.2985406","61.9427257"
"1500.0000000","Стена: 200,00 мм","","1","","","Бетон","Бетон","22ad1f3b-8886-4418-ac48-7d9de29be0cf","1500.0000000","3397.7682611","200.0000000","0.0000000","0.0000000","0.0000000","1300.0000000","0.0000000","0.0000000","2344.4601002","5.0966524","5.0966524","5.0966524","1.0193305","По центру","0.0000000","","0.0000000","(нет)","(нет)","00000000-0000-0000-0000-000000000000","Стена","200.0000000","68cc77a7-9cfb-4dba-a329-335c0d7d0f53","","1","2031.8654201","4.4170987","4.4170987","0.6795537","4.4170987","0.8834197"
"1500.0000000","Стена: 200,00 мм","","1","","","Бетон","Бетон","22ad1f3b-8886-4418-ac48-7d9de29be0cf","1500.0000000","2802.7818805","200.0000000","0.0000000","0.0000000","0.0000000","1300.0000000","0.0000000","0.0000000","2002.9194976","4.3541728","4.3541728","4.3541728","0.8708346","По центру","0.0000000","","0.0000000","(нет)","(нет)","00000000-0000-0000-0000-000000000000","Стена","200.0000000","24bdee14-7395-44c5-b3c5-c9108ffa481c","","1","1160.2040628","2.6850501","2.7336164","0.3880281","2.4736164","0.5044365"
"1500.0000000","Стена: 200,00 мм","","1","","","Бетон","Бетон","22ad1f3b-8886-4418-ac48-7d9de29be0cf","1500.0000000","3328.5236633","200.0000000","0.0000000","0.0000000","0.0000000","1300.0000000","0.0000000","0.0000000","2296.6813277","4.9927855","4.9927855","4.9927855","0.9985571","По центру","0.0000000","","0.0000000","(нет)","(нет)","00000000-0000-0000-0000-000000000000","Стена","200.0000000","c5635eb7-7efe-4b71-bf33-4490027eb217","","1","1990.4571507","4.3270808","4.3270808","0.6657047","4.3270808","0.8654162"
"1500.0000000","Стена: 200,00 мм","","1","","","Бетон","Бетон","22ad1f3b-8886-4418-ac48-7d9de29be0cf","1500.0000000","2902.7818805","200.0000000","0.0000000","0.0000000","0.0000000","1300.0000000","0.0000000","0.0000000","2002.9194976","4.3541728","4.3541728","4.3541728","0.8708346","По центру","0.0000000","","0.0000000","(нет)","(нет)","00000000-0000-0000-0000-000000000000","Стена","200.0000000","3eae5e29-b196-4d23-8adb-bc6bd09e35fa","","1","1220.0040628","2.8150501","2.8636164","0.4080281","2.6036164","0.5304365"
"3000.0000000","Стена: 200,00 мм","","1","","","Бетон","Бетон","22ad1f3b-8886-4418-ac48-7d9de29be0cf","3000.0000000","2902.7818805","200.0000000","0.0000000","0.0000000","0.0000000","3000.0000000","0.0000000","0.0000000","4005.8389952","8.7083456","8.7083456","8.7083456","1.7416691","По центру","0.0000000","","0.0000000","(нет)","(нет)","00000000-0000-0000-0000-000000000000","Стена","200.0000000","5afe4fd7-872f-4210-a00d-b4886c093371","","1","3326.8594605","7.2323032","7.2323032","0.4405564","7.2323032","1.4464606"
"3000.0000000","Стена: 200,00 мм","","1","","","Бетон","Бетон","22ad1f3b-8886-4418-ac48-7d9de29be0cf","3000.0000000","14583.6546388","200.0000000","0.0000000","0.0000000","0.0000000","3000.0000000","0.0000000","0.0000000","20125.4434016","43.7509639","43.7509639","43.7509639","8.7501928","По центру","0.0000000","","0.0000000","(нет)","(нет)","00000000-0000-0000-0000-000000000000","Стена","200.0000000","b4398fd1-fa08-4411-931c-fc363824f123","","1","18817.2895805","40.9071513","40.9071513","2.9167309","40.9071513","8.1814303"
"3000.0000000","Стена: 200,00 мм","","1","","","Бетон","Бетон","22ad1f3b-8886-4418-ac48-7d9de29be0cf","3000.0000000","14622.0041040","200.0000000","0.0000000","0.0000000","0.0000000","3000.0000000","0.0000000","0.0000000","20178.3656635","43.8660123","43.8660123","43.8660123","8.7732025","По центру","0.0000000","","0.0000000","(нет)","(нет)","00000000-0000-0000-0000-000000000000","Стена","200.0000000","1e468d3c-31c1-420b-a50a-9dad31d04a12","","1","18866.7718954","41.0147215","41.0147215","2.9244008","41.0147215","8.2029443"
"3000.0000000","Стена: 200,00 мм","","1","","","Бетон","Бетон","22ad1f3b-8886-4418-ac48-7d9de29be0cf","3000.0000000","9562.0469636","200.0000000","0.0000000","0.0000000","0.0000000","3000.0000000","0.0000000","0.0000000","13195.6248098","28.6861409","28.6861409","28.6861409","5.7372282","По центру","0.0000000","","0.0000000","(нет)","(нет)","00000000-0000-0000-0000-000000000000","Стена","200.0000000","46717f62-854b-48d2-b8bb-8052cb40b11f","","1","11394.9091972","24.4910417","25.0520417","1.7124094","24.7715417","4.9543083"
"3000.0000000","Стена: 200,00 мм","","1","","","Бетон","Бетон","22ad1f3b-8886-4418-ac48-7d9de29be0cf","3000.0000000","6769.0859376","200.0000000","0.0000000","0.0000000","0.0000000","3000.0000000","0.0000000","0.0000000","9341.3385938","20.3072578","20.3072578","20.3072578","4.0614516","По центру","0.0000000","","0.0000000","(нет)","(нет)","00000000-0000-0000-0000-000000000000","Стена","200.0000000","d376ad06-ff4d-4b46-8864-21b68db5d7c9","","1","8594.2715123","19.0108732","19.0108732","1.3321354","18.4262861","3.7366398"
"3000.0000000","Стена: 200,00 мм","","1","","","Бетон","Бетон","22ad1f3b-8886-4418-ac48-7d9de29be0cf","3000.0000000","9726.6060207","200.0000000","0.0000000","0.0000000","0.0000000","3000.0000000","0.0000000","0.0000000","13422.7163086","29.1798181","29.1798181","29.1798181","5.8359636","По центру","0.0000000","","0.0000000","(нет)","(нет)","00000000-0000-0000-0000-000000000000","Стена","200.0000000","53fa76ac-f3bd-47dc-bdd5-84dc42bd14ab","","1","11607.2397486","25.5136299","24.9526299","1.7453212","25.2331299","5.0466260"
"3000.0000000","Стена: 200,00 мм","","1","","","Бетон","Бетон","22ad1f3b-8886-4418-ac48-7d9de29be0cf","3000.0000000","6869.4501653","200.0000000","0.0000000","0.0000000","0.0000000","3000.0000000","0.0000000","0.0000000","9479.8412282","20.6083505","20.6083505","20.6083505","4.1216701","По центру","0.0000000","","0.0000000","(нет)","(нет)","00000000-0000-0000-0000-000000000000","Стена","200.0000000","f1c1cb98-e7d1-4e63-88c6-c5333870fd90","","1","8863.6515483","19.5493077","18.9883077","1.3738900","19.2688077","3.8537615"
"3000.0000000","Стена: 200,00 мм","","1","","","Бетон","Бетон","22ad1f3b-8886-4418-ac48-7d9de29be0cf","3000.0000000","8055.6548967","200.0000000","0.0000000","0.0000000","0.0000000","3000.0000000","0.0000000","0.0000000","11116.8037575","24.1669647","24.1669647","24.1669647","4.8333929","По центру","0.0000000","","0.0000000","(нет)","(нет)","00000000-0000-0000-0000-000000000000","Стена","200.0000000","12e08de9-6000-4907-8155-2ee540028e5b","","1","9032.3684875","19.6355837","20.1965837","1.3462092","19.6355837","3.9271167"
