"Имя","Категория","Категория системы","Количество","Марка","Номинальная высота","Номинальная длина","Номинальная ширина","Относительная высота верха объекта","Относительная высота низа объекта","Расположение электрического распределительного щита относительно оси","Смещение электрического распределительного щита по вертикали","Смещение электрического распределительного щита по горизонтали","Список систем","Список систем.Имя","Список систем.Категория","Список систем.Обозначение","Список систем.Уникальный идентификатор","Список систем.Уникальный идентификатор категории","Стиль электрического распределительного щита","Стиль электрического распределительного щита.Имя","Стиль электрического распределительного щита.Категория","Стиль электрического распределительного щита.Материал","Стиль электрического распределительного щита.Материал.Имя","Стиль электрического распределительного щита.Материал.Плотность","Стиль электрического распределительного щита.Материал.Теплопроводность","Стиль электрического распределительного щита.Материал.Уникальный идентификатор","Стиль электрического распределительного щита.Уникальный идентификатор","Стиль электрического распределительного щита.Уникальный идентификатор категории","Тип объекта","Угол поворота электрического распределительного щита","Уникальный идентификатор","Уникальный идентификатор категории","Уровень"
"Распределительный щит - ЩРн-36з-1 36 УХЛ3 IP31","Распределительный щит","Силовая сеть","1","","122.0000000","540.0000000","310.0000000","1148.1075252","608.1075252","По центру","0.0000000","0.0000000","","","","","","","ЩРн-36з-1 36 УХЛ3 IP31","ЩРн-36з-1 36 УХЛ3 IP31","Распределительный щит","Эмаль белая","Эмаль белая","1800.0000000","50.0000000","bc2ca510-d68b-446c-926d-28cb2609baa2","eaea5f2d-3ace-4553-94c5-c5c21bb694d1","a9e29735-b676-4fc8-b946-f2fdda6657dc","Электрический распределительный щит","0.0000000","9a4efab4-7986-4c0f-a0c0-d50e65f32780","a9e29735-b676-4fc8-b946-f2fdda6657dc","1"
"Распределительный щит - ЩРн-36з-1 36 УХЛ3 IP31","Распределительный щит","Силовая сеть","1","","122.0000000","540.0000000","310.0000000","1148.1075252","608.1075252","По центру","0.0000000","0.0000000","","","","","","","ЩРн-36з-1 36 УХЛ3 IP31","ЩРн-36з-1 36 УХЛ3 IP31","Распределительный щит","Эмаль белая","Эмаль белая","1800.0000000","50.0000000","bc2ca510-d68b-446c-926d-28cb2609baa2","eaea5f2d-3ace-4553-94c5-c5c21bb694d1","a9e29735-b676-4fc8-b946-f2fdda6657dc","Электрический распределительный щит","0.0000000","f6aece0b-9963-4a3f-94ea-4f5be91018d6","a9e29735-b676-4fc8-b946-f2fdda6657dc","1"
"Прибор контроля и управления - Прибор приемно-контрольный РУБЕЖ-2ОП","Прибор контроля и управления","Силовая сеть","1","","50.0000000","160.0000000","200.0000000","1187.9184515","1027.9184515","По центру","0.0000000","0.0000000","","","","","","","Прибор приемно-контрольный РУБЕЖ-2ОП","Прибор приемно-контрольный РУБЕЖ-2ОП","Прибор контроля и управления","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","be633575-bcc0-4af6-804c-663f83481295","2fea1683-d78d-41b4-a3f5-82d931e3c482","Электрический распределительный щит","0.0000000","76443a88-ba41-41e6-837d-10881316184b","2fea1683-d78d-41b4-a3f5-82d931e3c482","1"
"Прибор контроля и управления - Прибор приемно-контрольный РУБЕЖ-2ОП","Прибор контроля и управления","Силовая сеть","1","","50.0000000","160.0000000","200.0000000","1245.6866437","1085.6866437","По центру","0.0000000","0.0000000","","","","","","","Прибор приемно-контрольный РУБЕЖ-2ОП","Прибор приемно-контрольный РУБЕЖ-2ОП","Прибор контроля и управления","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","be633575-bcc0-4af6-804c-663f83481295","2fea1683-d78d-41b4-a3f5-82d931e3c482","Электрический распределительный щит","0.0000000","cb6eb73d-5afe-4309-b938-3c9570cfc19e","2fea1683-d78d-41b4-a3f5-82d931e3c482","1"
"Прибор контроля и управления - Прибор приемно-контрольный РУБЕЖ-2ОП","Прибор контроля и управления","Силовая сеть","1","","50.0000000","160.0000000","200.0000000","1217.0532310","1057.0532310","По центру","0.0000000","0.0000000","","","","","","","Прибор приемно-контрольный РУБЕЖ-2ОП","Прибор приемно-контрольный РУБЕЖ-2ОП","Прибор контроля и управления","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","be633575-bcc0-4af6-804c-663f83481295","2fea1683-d78d-41b4-a3f5-82d931e3c482","Электрический распределительный щит","0.0000000","8b6b2d48-1cff-4c73-8aa6-89a989b8e0b1","2fea1683-d78d-41b4-a3f5-82d931e3c482","1"
"Прибор контроля и управления - Прибор приемно-контрольный РУБЕЖ-2ОП","Прибор контроля и управления","Силовая сеть","1","","50.0000000","160.0000000","200.0000000","4474.1021876","4314.1021876","По центру","0.0000000","0.0000000","","","","","","","Прибор приемно-контрольный РУБЕЖ-2ОП","Прибор приемно-контрольный РУБЕЖ-2ОП","Прибор контроля и управления","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","be633575-bcc0-4af6-804c-663f83481295","2fea1683-d78d-41b4-a3f5-82d931e3c482","Электрический распределительный щит","0.0000000","b1c9aac4-10e8-46a7-b3b8-de291a4a2840","2fea1683-d78d-41b4-a3f5-82d931e3c482","1"
"Распределительный щит - ЩРн-9з-1 36 УХЛ3 IP31","Распределительный щит","Силовая сеть","1","","122.0000000","265.0000000","310.0000000","4369.2413936","4104.2413936","По центру","0.0000000","0.0000000","","","","","","","ЩРн-9з-1 36 УХЛ3 IP31","ЩРн-9з-1 36 УХЛ3 IP31","Распределительный щит","Эмаль белая","Эмаль белая","1800.0000000","50.0000000","bc2ca510-d68b-446c-926d-28cb2609baa2","add4afb0-56ff-4f19-8a9a-7acb4613f5b0","a9e29735-b676-4fc8-b946-f2fdda6657dc","Электрический распределительный щит","0.0000000","0aa3546c-9ad6-4f92-8c45-774b8c7ce4fd","a9e29735-b676-4fc8-b946-f2fdda6657dc","1"
"Распределительный щит - ЩРн-36з-1 36 УХЛ3 IP31","Распределительный щит","Силовая сеть","1","","122.0000000","540.0000000","310.0000000","4485.4884582","3945.4884582","По центру","0.0000000","0.0000000","","","","","","","ЩРн-36з-1 36 УХЛ3 IP31","ЩРн-36з-1 36 УХЛ3 IP31","Распределительный щит","Эмаль белая","Эмаль белая","1800.0000000","50.0000000","bc2ca510-d68b-446c-926d-28cb2609baa2","eaea5f2d-3ace-4553-94c5-c5c21bb694d1","a9e29735-b676-4fc8-b946-f2fdda6657dc","Электрический распределительный щит","0.0000000","71cec687-dfa9-4d70-aa69-d3a77fb9bbe2","a9e29735-b676-4fc8-b946-f2fdda6657dc","1"
"Распределительный щит - ЩРн-9з-1 36 УХЛ3 IP31","Распределительный щит","Силовая сеть","1","","122.0000000","265.0000000","310.0000000","4906.8185399","4641.8185399","По центру","0.0000000","0.0000000","","","","","","","ЩРн-9з-1 36 УХЛ3 IP31","ЩРн-9з-1 36 УХЛ3 IP31","Распределительный щит","Эмаль белая","Эмаль белая","1800.0000000","50.0000000","bc2ca510-d68b-446c-926d-28cb2609baa2","add4afb0-56ff-4f19-8a9a-7acb4613f5b0","a9e29735-b676-4fc8-b946-f2fdda6657dc","Электрический распределительный щит","0.0000000","876d1e04-ac07-4c7c-9469-0cbfa374e89b","a9e29735-b676-4fc8-b946-f2fdda6657dc","1"
"Распределительный щит - ЩРн-9з-1 36 УХЛ3 IP31","Распределительный щит","Силовая сеть","1","","122.0000000","265.0000000","310.0000000","5269.9560879","5004.9560879","По центру","0.0000000","0.0000000","","","","","","","ЩРн-9з-1 36 УХЛ3 IP31","ЩРн-9з-1 36 УХЛ3 IP31","Распределительный щит","Эмаль белая","Эмаль белая","1800.0000000","50.0000000","bc2ca510-d68b-446c-926d-28cb2609baa2","add4afb0-56ff-4f19-8a9a-7acb4613f5b0","a9e29735-b676-4fc8-b946-f2fdda6657dc","Электрический распределительный щит","0.0000000","52c8fb2a-b060-48a2-ad7b-78ab221f865d","a9e29735-b676-4fc8-b946-f2fdda6657dc","1"
"Распределительный щит - ЩРн-9з-1 36 УХЛ3 IP31","Распределительный щит","Прочие электрические системы","1","","122.0000000","265.0000000","310.0000000","4726.6494387","4461.6494387","По центру","0.0000000","0.0000000","","","","","","","ЩРн-9з-1 36 УХЛ3 IP31","ЩРн-9з-1 36 УХЛ3 IP31","Распределительный щит","Эмаль белая","Эмаль белая","1800.0000000","50.0000000","bc2ca510-d68b-446c-926d-28cb2609baa2","add4afb0-56ff-4f19-8a9a-7acb4613f5b0","a9e29735-b676-4fc8-b946-f2fdda6657dc","Электрический распределительный щит","0.0000000","d4704e1f-f010-44bb-9599-5b68ea6f8ba8","a9e29735-b676-4fc8-b946-f2fdda6657dc","1"
"Прибор контроля и управления - Прибор приемно-контрольный РУБЕЖ-2ОП","Прибор контроля и управления","Прочие электрические системы","1","","50.0000000","160.0000000","200.0000000","5604.5649718","5444.5649718","По центру","0.0000000","0.0000000","","","","","","","Прибор приемно-контрольный РУБЕЖ-2ОП","Прибор приемно-контрольный РУБЕЖ-2ОП","Прибор контроля и управления","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","be633575-bcc0-4af6-804c-663f83481295","2fea1683-d78d-41b4-a3f5-82d931e3c482","Электрический распределительный щит","0.0000000","5144f642-f938-4af7-870f-3e72a8d25fa1","2fea1683-d78d-41b4-a3f5-82d931e3c482","1"
