"Имя","Категория","Категория системы","Количество","Марка","Номинальная высота","Номинальная длина","Номинальная ширина","Относительная высота верха объекта","Относительная высота низа объекта","Расположение электроустановочного изделия относительно оси","Смещение электроустановочного изделия по вертикали","Смещение электроустановочного изделия по горизонтали","Список систем","Список систем.Имя","Список систем.Категория","Список систем.Обозначение","Список систем.Уникальный идентификатор","Список систем.Уникальный идентификатор категории","Стиль электроустановочного изделия","Стиль электроустановочного изделия.Имя","Стиль электроустановочного изделия.Категория","Стиль электроустановочного изделия.Материал","Стиль электроустановочного изделия.Материал.Имя","Стиль электроустановочного изделия.Материал.Плотность","Стиль электроустановочного изделия.Материал.Теплопроводность","Стиль электроустановочного изделия.Материал.Уникальный идентификатор","Стиль электроустановочного изделия.Уникальный идентификатор","Стиль электроустановочного изделия.Уникальный идентификатор категории","Тип объекта","Угол поворота электроустановочного изделия","Уникальный идентификатор","Уникальный идентификатор категории","Уровень"
"Выключатель - Выключатель А16-131","Выключатель","Осветительная сеть","1","","52.1912915","80.0000000","80.0000000","4664.8574897","4584.8574897","По центру","0.0000000","0.0000000","","","","","","","Выключатель А16-131","Выключатель А16-131","Выключатель","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","83d9d908-fab5-4a96-bef2-8e94b2943157","e76347cf-2e16-4367-a6b5-2f6c83450b65","Электроустановочное изделие","0.0000000","dfb4004e-ace1-4778-b88a-447200298bfc","e76347cf-2e16-4367-a6b5-2f6c83450b65","1"
"Розетка - Розетка штепсельная RA16-238","Розетка","Силовая сеть","1","","40.0000000","60.0000000","130.0000000","4134.4988564","4074.4988564","По центру","0.0000000","0.0000000","","","","","","","Розетка штепсельная RA16-238","Розетка штепсельная RA16-238","Розетка","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","92b7ae48-fd5a-4ba4-8a30-54328b77df8a","1c2bbe00-cc32-4d02-9507-a1be5130b13c","Электроустановочное изделие","0.0000000","6d7b10dd-2c05-4b13-a0d6-fc41b8d19cea","1c2bbe00-cc32-4d02-9507-a1be5130b13c","1"
"Розетка - Розетка штепсельная RA16-238","Розетка","Силовая сеть","1","","40.0000000","60.0000000","130.0000000","3989.5221306","3929.5221306","По центру","0.0000000","0.0000000","","","","","","","Розетка штепсельная RA16-238","Розетка штепсельная RA16-238","Розетка","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","92b7ae48-fd5a-4ba4-8a30-54328b77df8a","1c2bbe00-cc32-4d02-9507-a1be5130b13c","Электроустановочное изделие","0.0000000","97f29ed5-a07d-4508-b759-4f9e502f2b19","1c2bbe00-cc32-4d02-9507-a1be5130b13c","1"
"Розетка - Розетка штепсельная RA16-238","Розетка","Силовая сеть","1","","40.0000000","60.0000000","130.0000000","4000.0043426","3940.0043426","По центру","0.0000000","0.0000000","","","","","","","Розетка штепсельная RA16-238","Розетка штепсельная RA16-238","Розетка","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","92b7ae48-fd5a-4ba4-8a30-54328b77df8a","1c2bbe00-cc32-4d02-9507-a1be5130b13c","Электроустановочное изделие","0.0000000","4c9a4e4d-6604-45a0-ab02-3060cdc926cf","1c2bbe00-cc32-4d02-9507-a1be5130b13c","1"
"Распределительная коробка - Коробка распаячная КМ41241","Распределительная коробка","Силовая сеть","1","","32.0000000","114.8000000","154.8000000","3251.2733409","3136.4733409","По центру","0.0000000","0.0000000","","","","","","","Коробка распаячная КМ41241","Коробка распаячная КМ41241","Распределительная коробка","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","4b6bd4f9-653c-4b62-9cac-5feac8abc9c3","7b6f6ad2-2efa-4ae1-915c-d7770a4aebc5","Электроустановочное изделие","0.0000000","34a045ff-8f0e-4e69-b650-6f3ceedcaedc","7b6f6ad2-2efa-4ae1-915c-d7770a4aebc5","2"
"Розетка - Розетка штепсельная RA16-365","Розетка","Силовая сеть","1","","40.0000000","60.0000000","200.0000000","3105.0018004","3045.0018004","По центру","0.0000000","0.0000000","","","","","","","Розетка штепсельная RA16-365","Розетка штепсельная RA16-365","Розетка","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","29ff2b40-44df-4653-9a14-b01eebbf0386","1c2bbe00-cc32-4d02-9507-a1be5130b13c","Электроустановочное изделие","0.0000000","749d87f1-e90f-4084-bee7-7b47328b6e3b","1c2bbe00-cc32-4d02-9507-a1be5130b13c","2"
"Розетка - Розетка штепсельная RA16-365","Розетка","Силовая сеть","1","","40.0000000","60.0000000","200.0000000","3102.3038139","3042.3038139","По центру","0.0000000","0.0000000","","","","","","","Розетка штепсельная RA16-365","Розетка штепсельная RA16-365","Розетка","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","29ff2b40-44df-4653-9a14-b01eebbf0386","1c2bbe00-cc32-4d02-9507-a1be5130b13c","Электроустановочное изделие","0.0000000","075e1c4f-55fa-4d48-bd34-66836d75c039","1c2bbe00-cc32-4d02-9507-a1be5130b13c","2"
"Распределительная коробка - Коробка распаячная КМ41241","Распределительная коробка","Силовая сеть","1","","32.0000000","114.8000000","154.8000000","3252.2464869","3137.4464869","По центру","0.0000000","0.0000000","","","","","","","Коробка распаячная КМ41241","Коробка распаячная КМ41241","Распределительная коробка","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","4b6bd4f9-653c-4b62-9cac-5feac8abc9c3","7b6f6ad2-2efa-4ae1-915c-d7770a4aebc5","Электроустановочное изделие","0.0000000","dd426072-84b6-4174-958d-866af0d26839","7b6f6ad2-2efa-4ae1-915c-d7770a4aebc5","2"
"Распределительная коробка - Коробка распаячная КМ41241","Распределительная коробка","Силовая сеть","1","","32.0000000","114.8000000","154.8000000","3326.1696147","3211.3696147","По центру","0.0000000","0.0000000","","","","","","","Коробка распаячная КМ41241","Коробка распаячная КМ41241","Распределительная коробка","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","4b6bd4f9-653c-4b62-9cac-5feac8abc9c3","7b6f6ad2-2efa-4ae1-915c-d7770a4aebc5","Электроустановочное изделие","0.0000000","f8e72d8b-4d8d-43ab-a3e5-ad28fef23c51","7b6f6ad2-2efa-4ae1-915c-d7770a4aebc5","1"
"Розетка - Розетка штепсельная RA16-365","Розетка","Силовая сеть","1","","40.0000000","60.0000000","200.0000000","3155.7843513","3095.7843513","По центру","0.0000000","0.0000000","","","","","","","Розетка штепсельная RA16-365","Розетка штепсельная RA16-365","Розетка","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","29ff2b40-44df-4653-9a14-b01eebbf0386","1c2bbe00-cc32-4d02-9507-a1be5130b13c","Электроустановочное изделие","0.0000000","08b99478-8428-47e1-9209-b71e96249cc9","1c2bbe00-cc32-4d02-9507-a1be5130b13c","1"
