"Габаритная высота","Габаритная глубина","Габаритная ширина","Имя","Имя родительского объекта","Количество","Марка","Марка родительского объекта","Относительная высота верха объекта","Относительная высота низа объекта","Расположение элемента относительно оси","Смещение по вертикали","Смещение родительского объекта по вертикали","Смещение элемента по вертикали","Смещение элемента по горизонтали","Список материалов","Список материалов.Имя","Список материалов.Плотность","Список материалов.Теплопроводность","Список материалов.Уникальный идентификатор","Стиль элемента","Стиль элемента.Высота элемента","Стиль элемента.Глубина  элемента","Стиль элемента.Имя","Стиль элемента.Ориентация 3D модели","Стиль элемента.Равномерное масштабирование","Стиль элемента.Уникальный идентификатор","Стиль элемента.Ширина элемента","Тип объекта","Угол нутации","Угол прецессии","Угол собственного вращения","Уникальный идентификатор","Уникальный идентификатор родительского объекта","Уровень","Чистая масса","Чистый объём"
"890.0000000","915.0000000","2010.0000000","Элемент - Софа: 2 010,00 мм x 915,00 мм x 890,00 мм","","1","","","890.0000000","0.0000000","По центру","0.0000000","","0.0000000","0.0000000","(нет)","(нет)","0,70","0,70","00000000-0000-0000-0000-000000000000","Софа","890.0000000","915.0000000","Софа","Нижняя","Нет","0a80998f-29b9-44ca-bb42-18df491c327d","2010.0000000","Элемент","0.0000000","89.8284719","0.0000000","591a7bab-f07d-4055-a638-28255ded885b","","1","","0.8328589"
"450.0000000","600.0000000","1200.0000000","Элемент - Кофейный стол: 1 200,00 мм x 600,00 мм x 450,00 мм","","1","","","450.0000000","0.0000000","По центру","0.0000000","","0.0000000","0.0000000","(нет)","(нет)","0,70","0,70","00000000-0000-0000-0000-000000000000","Кофейный стол","450.0000000","600.0000000","Кофейный стол","Нижняя","Да","9d107210-e671-4df8-a687-3334caf9d4a7","1200.0000000","Элемент","0.0000000","89.5083449","0.0000000","56f83d4d-b381-4bea-97c6-4a4197a46e49","","1","","0.0278560"
"450.0000000","600.0000000","1200.0000000","Элемент - Кофейный стол: 1 200,00 мм x 600,00 мм x 450,00 мм","","1","","","450.0000000","0.0000000","По центру","0.0000000","","0.0000000","0.0000000","(нет)","(нет)","0,70","0,70","00000000-0000-0000-0000-000000000000","Кофейный стол","450.0000000","600.0000000","Кофейный стол","Нижняя","Да","9d107210-e671-4df8-a687-3334caf9d4a7","1200.0000000","Элемент","0.0000000","89.5083449","0.0000000","8204bfe7-75bd-4990-865c-9becf33428b2","","1","","0.0278560"
"2130.0000000","550.0000000","1090.0000000","Элемент - Шкаф: 1 090,00 мм x 550,00 мм x 2 130,00 мм","","1","","","2130.0000000","0.0000000","По центру","0.0000000","","0.0000000","0.0000000","(нет)","(нет)","0,70","0,70","00000000-0000-0000-0000-000000000000","Шкаф","2130.0000000","550.0000000","Шкаф","Нижняя","Нет","1711deb9-5dca-4a17-af61-8dfa04f67e05","1090.0000000","Элемент","0.0000000","180.0000000","0.0000000","56ec906e-ab28-47af-b90c-e498d8e7004a","","1","","0.3788009"
"2130.0000000","550.0000000","1090.0000000","Элемент - Шкаф: 1 090,00 мм x 550,00 мм x 2 130,00 мм","","1","","","2130.0000000","0.0000000","По центру","0.0000000","","0.0000000","0.0000000","(нет)","(нет)","0,70","0,70","00000000-0000-0000-0000-000000000000","Шкаф","2130.0000000","550.0000000","Шкаф","Нижняя","Нет","1711deb9-5dca-4a17-af61-8dfa04f67e05","1090.0000000","Элемент","0.0000000","180.0000000","0.0000000","6a2d4a95-0eaa-44ac-8d57-5f9c4b3a9a68","","1","","0.3788009"
"2130.0000000","550.0000000","1090.0000000","Элемент - Шкаф: 1 090,00 мм x 550,00 мм x 2 130,00 мм","","1","","","2130.0000000","0.0000000","По центру","0.0000000","","0.0000000","0.0000000","(нет)","(нет)","0,70","0,70","00000000-0000-0000-0000-000000000000","Шкаф","2130.0000000","550.0000000","Шкаф","Нижняя","Нет","1711deb9-5dca-4a17-af61-8dfa04f67e05","1090.0000000","Элемент","0.0000000","180.0000000","0.0000000","887e220c-b15a-49d4-8632-e5a1344b9b67","","1","","0.3788009"
"890.0000000","915.0000000","2010.0000000","Элемент - Софа: 2 010,00 мм x 915,00 мм x 890,00 мм","","1","","","890.0000000","0.0000000","По центру","0.0000000","","0.0000000","0.0000000","(нет)","(нет)","0,70","0,70","00000000-0000-0000-0000-000000000000","Софа","890.0000000","915.0000000","Софа","Нижняя","Нет","0a80998f-29b9-44ca-bb42-18df491c327d","2010.0000000","Элемент","0.0000000","90.0000000","0.0000000","d602dac5-d25d-4518-a5ad-b521ab15f144","","1","","0.8328589"
"890.0000000","915.0000000","2010.0000000","Элемент - Софа: 2 010,00 мм x 915,00 мм x 890,00 мм","","1","","","890.0000000","0.0000000","По центру","0.0000000","","0.0000000","0.0000000","(нет)","(нет)","0,70","0,70","00000000-0000-0000-0000-000000000000","Софа","890.0000000","915.0000000","Софа","Нижняя","Нет","0a80998f-29b9-44ca-bb42-18df491c327d","2010.0000000","Элемент","0.0000000","270.1766204","0.0000000","e161f6d3-e4f6-4e7c-9e5c-14343aea9dd0","","1","","0.8328589"
"450.0000000","600.0000000","1200.0000000","Элемент - Кофейный стол: 1 200,00 мм x 600,00 мм x 450,00 мм","","1","","","450.0000000","0.0000000","По центру","0.0000000","","0.0000000","0.0000000","(нет)","(нет)","0,70","0,70","00000000-0000-0000-0000-000000000000","Кофейный стол","450.0000000","600.0000000","Кофейный стол","Нижняя","Да","9d107210-e671-4df8-a687-3334caf9d4a7","1200.0000000","Элемент","0.0000000","0.0000000","0.0000000","17fa36a1-3461-4319-9137-b7f50032ad72","","1","","0.0278560"
"890.0000000","915.0000000","2010.0000000","Элемент - Софа: 2 010,00 мм x 915,00 мм x 890,00 мм","","1","","","890.0000000","0.0000000","По центру","0.0000000","","0.0000000","0.0000000","(нет)","(нет)","0,70","0,70","00000000-0000-0000-0000-000000000000","Софа","890.0000000","915.0000000","Софа","Нижняя","Нет","0a80998f-29b9-44ca-bb42-18df491c327d","2010.0000000","Элемент","0.0000000","270.0000000","0.0000000","da07a520-a7b3-4d71-b5b0-5bfb9d4afe18","","1","","0.8328589"
